Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

AnimalHunterLPName,progression,perk,,,Predator,,,,,,捕食者,,,,Хищник,,捕食者,掠食者
AnimalHunterLPDesc,progression,perk,,,Specialize in survival instincts to get better at handling prey.\nBuffs effect of the same type doesn't stack.\nOnly affects XP gained from animal kills.,,,,,,生存本能に特化し、獲物の扱いが上手になります。\n同じ種類のバフ効果は重複しない。\n動物を倒した際に得られる経験値にのみ影響する。,,,,Специализируйтесь на инстинктах выживания чтобы лучше справляться с добычей.\nЭффекты баффов одного типа не суммируются.\nВлияют только на опыт за убийства животных.,,专精于生存本能可以更好地处理猎物。\n同一类型的增益效果不叠加。\n仅影响从击杀动物中所获得的经验值。,專精於更好地處理獵物的生存本能。\n同類型的增益效果不疊加。\n只影響從擊殺動物中所獲得的經驗值。
AnimalHunterLP1Desc,progression,skills,,,\n+10% Animal Killed XP Gained\n+10% Additional Animal Killed XP Gained during Nighttime\n+10% Damage to Animals\n,,,,,,\n動物キル獲得経験値+10%\n夜間に動物キル獲得経験値+10%追加\n動物へのダメージ+10%\n,,,,\n+10% Полученный опыт за убийство животных\n+10% Дополнительный опыт за убийство животных в ночное время\n+10% Урон животным\n,,\n+10%击杀动物经验值\n夜晚时额外+10%击杀动物经验值\n+10%对动物造成的伤害\n,\n+10% 擊殺動物經驗值\n夜間時 +10% 額外擊殺動物經驗值\n+10% 對動物造成的傷害\n
AnimalHunterLP2Desc,progression,skills,,,\n+20% Animal Killed XP Gained\n+20% Additional Animal Killed XP Gained during Nighttime\n+20% Damage to Animals\n,,,,,,\n動物キル獲得経験値+20%\n夜間に動物キル獲得経験値+20%追加\n動物へのダメージ+20%\n,,,,\n+20% Полученный опыт за убийство животных\n+20% Дополнительный опыт за убийство животных в ночное время\n+20% Урон животным\n,,\n+20%击杀动物经验值\n夜晚时额外+20%击杀动物经验值\n+20%对动物造成的伤害\n,\n+20% 擊殺動物經驗值\n夜間時 +20% 額外擊殺動物經驗值\n+20% 對動物造成的傷害\n
AnimalHunterLP3Desc,progression,skills,,,\n+30% Animal Killed XP Gained\n+30% Additional Animal Killed XP Gained during Nighttime\n+30% Damage to Animals\n,,,,,,\n動物キル獲得経験値+30%\n夜間に動物キル獲得経験値+30%追加\n動物へのダメージ+30%\n,,,,\n+30% Полученный опыт за убийство животных\n+30% Дополнительный опыт за убийство животных в ночное время\n+30% Урон животным\n,,\n+30%击杀动物经验值\n夜晚时额外+30%击杀动物经验值\n+30%对动物造成的伤害\n,\n+30% 擊殺動物經驗值\n夜間時 +30% 額外擊殺動物經驗值\n+30% 對動物造成的傷害\n
AnimalHunterLP4Desc,progression,skills,,,\n+40% Animal Killed XP Gained\n+40% Additional Animal Killed XP Gained during Nighttime\n+40% Damage to Animals\n,,,,,,\n動物キル獲得経験値+40%\n夜間に動物キル獲得経験値+40%追加\n動物へのダメージ+40%\n,,,,\n+40% Полученный опыт за убийство животных\n+40% Дополнительный опыт за убийство животных в ночное время\n+40% Урон животным\n,,\n+40%击杀动物经验值\n夜晚时额外+40%击杀动物经验值\n+40%对动物造成的伤害\n,\n+40% 擊殺動物經驗值\n夜間時 +40% 額外擊殺動物經驗值\n+40% 對動物造成的傷害\n
AnimalHunterLP5Desc,progression,skills,,,+50% Animal Killed XP Gained\n+50% Additional Animal Killed XP Gained during Nighttime\n+50% Damage to Animals\nGain Buffs per Animal Killed,,,,,,動物キル獲得経験値+50%\n夜間に動物キル獲得経験値+50%追加\n動物へのダメージ+50%\n倒した動物毎にバフを得る,,,,+50% Полученный опыт за убийство животных\n+50% Дополнительный опыт за убийство животных в ночное время\n+50% Урона животным\nПолучение положительных эффектов за каждое убитое животное,,+50%击杀动物经验值\n夜晚时额外+50%击杀动物经验值\n+50%对动物造成的伤害\n每击杀动物即可获得增益,+50% 擊殺動物經驗值\n夜間時 +50% 額外擊殺動物經驗值\n+50% 對動物造成的傷害\n每擊殺動物即可獲得增益
AnimalHunterLP1LongDesc,progression,skills,,,Increases XP gained from killing animals by +10%.\nIncreases XP gained from killing animals by an additional +10% during nighttime.\nIncreases damage deal to animals by +10%.,,,,,,動物を倒して得られる経験値が10%増加。\n夜間だと動物を倒して得られる経験値が更に10%増加。\n動物に与えるダメージが10%増加。,,,,Увеличивает опыт за убийство животных на +10%.\nДаёт дополнительный опыт за убийство животных в ночное время на +10%.\nУвеличивает урон наносимый животным на +10%.,,从击杀动物中所获得的经验值增加+10%。\n夜晚时从击杀动物中所获得的经验值额外增加+10%。\n对动物造成的伤害增加+10%。,從擊殺動物中所獲得的經驗值增加 +10%。\n夜間時從擊殺動物中所獲得的經驗值額外增加 +10%。\n對動物造成的傷害增加 +10%。
AnimalHunterLP2LongDesc,progression,skills,,,Increases XP gained from killing animals by +20%.\nIncreases XP gained from killing animals by an additional +20% during nighttime.\nIncreases damage deal to animals by +20%.,,,,,,動物を倒して得られる経験値が20%増加。\n夜間だと動物を倒して得られる経験値が更に20%増加。\n動物に与えるダメージが20%増加。,,,,Увеличивает опыт за убийство животных на +20%.\nДаёт дополнительный опыт за убийство животных в ночное время на +20%.\nУвеличивает урон наносимый животным на +20%.,,从击杀动物中所获得的经验值增加+20%。\n夜晚时从击杀动物中所获得的经验值额外增加+20%。\n对动物造成的伤害增加+20%。,從擊殺動物中所獲得的經驗值增加 +20%。\n夜間時從擊殺動物中所獲得的經驗值額外增加 +20%。\n對動物造成的傷害增加 +20%。
AnimalHunterLP3LongDesc,progression,skills,,,Increases XP gained from killing animals by +30%.\nIncreases XP gained from killing animals by an additional +30% during nighttime.\nIncreases damage deal to animals by +30%.,,,,,,動物を倒して得られる経験値が30%増加。\n夜間だと動物を倒して得られる経験値が更に30%増加。\n動物に与えるダメージが30%増加。,,,,Увеличивает опыт за убийство животных на +30%.\nДаёт дополнительный опыт за убийство животных в ночное время на +30%.\nУвеличивает урон наносимый животным на +30%.,,从击杀动物中所获得的经验值增加+30%。\n夜晚时从击杀动物中所获得的经验值额外增加+30%。\n对动物造成的伤害增加+30%。,從擊殺動物中所獲得的經驗值增加 +30%。\n夜間時從擊殺動物中所獲得的經驗值額外增加 +30%。\n對動物造成的傷害增加 +30%。
AnimalHunterLP4LongDesc,progression,skills,,,Increases XP gained from killing animals by +40%.\nIncreases XP gained from killing animals by an additional +40% during nighttime.\nIncreases damage deal to animals by +40%.,,,,,,動物を倒して得られる経験値が40%増加。\n夜間だと動物を倒して得られる経験値が更に40%増加。\n動物に与えるダメージが40%増加。,,,,Увеличивает опыт за убийство животных на +40%.\nДаёт дополнительный опыт за убийство животных в ночное время на +40%.\nУвеличивает урон наносимый животным на +40%.,,从击杀动物中所获得的经验值增加+40%。\n夜晚时从击杀动物中所获得的经验值额外增加+40%。\n对动物造成的伤害增加+40%。,從擊殺動物中所獲得的經驗值增加 +40%。\n夜間時從擊殺動物中所獲得的經驗值額外增加 +40%。\n對動物造成的傷害增加 +40%。
AnimalHunterLP5LongDesc,progression,skills,,,Increases XP gained from killing animals by +50%.\nIncreases XP gained from killing animals by an additional +50% during nighttime.\nIncreases damage deal to animals by +50%.\nGain buffs based on the type of animal killed.,,,,,,動物を倒して得られる経験値が50%増加。\n夜間だと動物を倒して得られる経験値が更に50%増加。\n動物に与えるダメージが50%増加。\n倒した動物の種類に応じてバフを得る。,,,,Увеличивает опыт за убийство животных на +50%.\nДаёт дополнительный опыт за убийство животных в ночное время на +50%.\nУвеличивает урон наносимый животным на +50%.\nДаёт усиления в зависимости от типа убитого животного.,,从击杀动物中所获得的经验值增加+50%。\n夜晚时从击杀动物中所获得的经验值额外增加+50%。\n对动物造成的伤害增加+50%。\n根据所击杀的动物类型获得增益。,從擊殺動物中所獲得的經驗值增加 +50%。\n夜間時從擊殺動物中所獲得的經驗值額外增加 +50%。\n對動物造成的傷害增加 +50%。\n根據被擊殺的動物類型獲得增益。

CraftingLPName,progression,perk,,,Builder,,,,,,ビルダー,,,,Строитель,,建造者,建築者
CraftingLPDesc,progression,perk,,,Specialize in creating knowledge to improve crafting efficiency.\nOnly affects XP gained from upgrading blocks.,,,,,,クラフトの効率を向上させる知識の創造に特化しています。\nブロックのアップグレードによって得られる経験値にのみ影響します。,,,,Специализируйтесь на возведение знаний для повышения эффективности производства.\nВлияет только на опыт полученный при улучшении блоков.,,专精于创造知识以提高制作效率。\n仅影响从升级物块中所获得的经验值。,專精於創造知識以提高製作效率。\n只影響從升級模塊中所獲得的經驗值。
CraftingLP1Desc,progression,skills,,,\n+5% Block Upgrading XP Gained\n+5% Additional Block Upgrading XP Gained during Nighttime\n+6% Crafting Speed\n,,,,,,\nブロックのアップグレード獲得経験値+5%\n夜間にブロックのアップグレード獲得経験値+5%追加\nクラフト速度+6%\n,,,,\n+5% Полученный опыт за улучшение блоков\n+5% Дополнительный опыт за улучшение блоков в ночное время\n+6% Скорость создания\n,,\n+5%升级物块经验值\n夜晚时额外+5%升级物块经验值\n+6%制作速度\n,\n+5% 升級模塊經驗值\n夜間時 +5% 額外升級模塊經驗值\n+6% 製作速度\n
CraftingLP2Desc,progression,skills,,,\n+10% Block Upgrading XP Gained\n+10% Additional Block Upgrading XP Gained during Nighttime\n+12% Crafting Speed\n,,,,,,\nブロックのアップグレード獲得経験値+10%\n夜間にブロックのアップグレード獲得経験値+10%追加\nクラフト速度+12%\n,,,,\n+10% Полученный опыт за улучшение блоков\n+10% Дополнительный опыт за улучшение блоков в ночное время\n+12% Скорость создания\n,,\n+10%升级物块经验值\n夜晚时额外+10%升级物块经验值\n+12%制作速度\n,\n+10% 升級模塊經驗值\n夜間時 +10% 額外升級模塊經驗值\n+12% 製作速度\n
CraftingLP3Desc,progression,skills,,,\n+15% Block Upgrading XP Gained\n+15% Additional Block Upgrading XP Gained during Nighttime\n+18% Crafting Speed\n,,,,,,\nブロックのアップグレード獲得経験値+15%\n夜間にブロックのアップグレード獲得経験値+15%追加\nクラフト速度+18%\n,,,,\n+15% Полученный опыт за улучшение блоков\n+15% Дополнительный опыт за улучшение блоков в ночное время\n+18% Скорость создания\n,,\n+15%升级物块经验值\n夜晚时额外+15%升级物块经验值\n+18%制作速度\n,\n+15% 升級模塊經驗值\n夜間時 +15% 額外升級模塊經驗值\n+18% 製作速度\n
CraftingLP4Desc,progression,skills,,,\n+20% Block Upgrading XP Gained\n+20% Additional Block Upgrading XP Gained during Nighttime\n+24% Crafting Speed\n,,,,,,\nブロックのアップグレード獲得経験値+20%\n夜間にブロックのアップグレード獲得経験値+20%追加\nクラフト速度+24%\n,,,,\n+20% Полученный опыт за улучшение блоков\n+20% Дополнительный опыт за улучшение блоков в ночное время\n+24% Скорость создания\n,,\n+20%升级物块经验值\n夜晚时额外+20%升级物块经验值\n+24%制作速度\n,\n+20% 升級模塊經驗值\n夜間時 +20% 額外升級模塊經驗值\n+24% 製作速度\n
CraftingLP5Desc,progression,skills,,,\n+25% Block Upgrading XP Gained\n+25% Additional Block Upgrading XP Gained during Nighttime\n+30% Crafting Speed\n,,,,,,\nブロックのアップグレード獲得経験値+25%\n夜間にブロックのアップグレード獲得経験値+25%追加\nクラフト速度+30%\n,,,,\n+25% Полученный опыт за улучшение блоков\n+25% Дополнительный опыт за улучшение блоков в ночное время\n+30% Скорость создания\n,,\n+25%升级物块经验值\n夜晚时额外+25%升级物块经验值\n+30%制作速度\n,\n+25% 升級模塊經驗值\n夜間時 +25% 額外升級模塊經驗值\n+30% 製作速度\n
CraftingLP1LongDesc,progression,skills,,,Increases XP gained from upgrading blocks by +5%.\nIncreases XP gained from upgrading blocks by an additional +5% during nighttime.\nImproves crafting speed by +6%.,,,,,,ブロックのアップグレードして得られる経験値が5%増加。\n夜間だとブロックのアップグレードして得られる経験値が更に5%増加。\nクラフト速度が6%増加。,,,,Увеличивает опыт за улучшение блоков на +5%.\nДаёт дополнительный опыт за улучшение блоков в ночное время на +5%.\nУлучшает скорость изготовления на +6%.,,从升级物块中所获得的经验值增加+5%。\n夜晚时从升级物块中所获得的经验值额外增加+5%。\n制作速度提高+6%。,從升級模塊中所獲得的經驗值增加 +5%。\n夜間時從升級模塊中所獲得的經驗值額外增加 +5%。\n製作速度提高 +6%。
CraftingLP2LongDesc,progression,skills,,,Increases XP gained from upgrading blocks by +10%.\nIncreases XP gained from upgrading blocks by an additional +10% during nighttime.\nImproves crafting speed by +12%.,,,,,,ブロックのアップグレードして得られる経験値が10%増加。\n夜間だとブロックのアップグレードして得られる経験値が更に10%増加。\nクラフト速度が12%増加。,,,,Увеличивает опыт за улучшение блоков на +10%.\nДаёт дополнительный опыт за улучшение блоков в ночное время на +10%.\nУлучшает скорость изготовления на +12%.,,从升级物块中所获得的经验值增加+10%。\n夜晚时从升级物块中所获得的经验值额外增加+10%。\n制作速度提高+12%。,從升級模塊中所獲得的經驗值增加 +10%。\n夜間時從升級模塊中所獲得的經驗值額外增加 +10%。\n製作速度提高 +12%。
CraftingLP3LongDesc,progression,skills,,,Increases XP gained from upgrading blocks by +15%.\nIncreases XP gained from upgrading blocks by an additional +15% during nighttime.\nImproves crafting speed by +18%.,,,,,,ブロックのアップグレードして得られる経験値が15%増加。\n夜間だとブロックのアップグレードして得られる経験値が更に15%増加。\nクラフト速度が18%増加。,,,,Увеличивает опыт за улучшение блоков на +15%.\nДаёт дополнительный опыт за улучшение блоков в ночное время на +15%.\nУлучшает скорость изготовления на +18%.,,从升级物块中所获得的经验值增加+15%。\n夜晚时从升级物块中所获得的经验值额外增加+15%。\n制作速度提高+18%。,從升級模塊中所獲得的經驗值增加 +15%。\n夜間時從升級模塊中所獲得的經驗值額外增加 +15%。\n製作速度提高 +18%。
CraftingLP4LongDesc,progression,skills,,,Increases XP gained from upgrading blocks by +20%.\nIncreases XP gained from upgrading blocks by an additional +20% during nighttime.\nImproves crafting speed by +24%.,,,,,,ブロックのアップグレードして得られる経験値が20%増加。\n夜間だとブロックのアップグレードして得られる経験値が更に20%増加。\nクラフト速度が24%増加。,,,,Увеличивает опыт за улучшение блоков на +20%.\nДаёт дополнительный опыт за улучшение блоков в ночное время на +20%.\nУлучшает скорость изготовления на +24%.,,从升级物块中所获得的经验值增加+20%。\n夜晚时从升级物块中所获得的经验值额外增加+20%。\n制作速度提高+24%。,從升級模塊中所獲得的經驗值增加 +20%。\n夜間時從升級模塊中所獲得的經驗值額外增加 +20%。\n製作速度提高 +24%。
CraftingLP5LongDesc,progression,skills,,,Increases XP gained from upgrading blocks by +25%.\nIncreases XP gained from upgrading blocks by an additional +25% during nighttime.\nImproves crafting speed by +30%.,,,,,,ブロックのアップグレードして得られる経験値が25%増加。\n夜間だとブロックのアップグレードして得られる経験値が更に25%増加。\nクラフト速度が30%増加。,,,,Увеличивает опыт за улучшение блоков на +25%.\nДаёт дополнительный опыт за улучшение блоков в ночное время на +25%.\nУлучшает скорость изготовления на +30%.,,从升级物块中所获得的经验值增加+25%。\n夜晚时从升级物块中所获得的经验值额外增加+25%。\n制作速度提高+30%。,從升級模塊中所獲得的經驗值增加 +25%。\n夜間時從升級模塊中所獲得的經驗值額外增加 +25%。\n製作速度提高 +30%。

SalvageLPName,progression,perk,,,Gatherer,,,,,,採集者,,,,Собиратель,,采集者,採集者
SalvageLPDesc,progression,perk,,,Specialize in better using of various tools.\nStack with 'Salvage Operations' and 'Miner 69'er'.,,,,,,様々な道具の使い方を特化させる。\n『サルベージオペレーション』『69年の鉱夫』と重複可能。,,,,Специализируйтесь на лучшем использовании различных инструментов.\nЭффект складывается с 'Сбор трофеев' и 'Долбатель'.,,专精于更好地使用各种工具。\n可与‘拾荒行动’和‘矿业69族’叠加。,專精於更好地使用各種工具。\n可與「廢物利用工作」和「69 礦工」疊加。
SalvageLP1Desc,progression,skills,,,\n+10% All Tools Block Damage\n+5% All Tools Speed\n+2% Junk Finding Chance\n,,,,,,\n道具の対物ダメージ+10%\n道具の振る速度+5%\nジャンク品発見確率+2%\n,,,,\n+10% Урон всех инструментов\n+5% Скорость всех инструментов\n+2% Шанс найти мусор\n,,\n+10%所有工具物块伤害\n+5%所有工具速度\n+2%垃圾发现率\n,\n+10% 所有工具塊損壞\n+5% 所有工具速度\n+2% 垃圾發現率\n
SalvageLP2Desc,progression,skills,,,\n+20% All Tools Block Damage\n+10% All Tools Speed\n+4% Junk Finding Chance\n,,,,,,\n道具の対物ダメージ+20%\n道具の振る速度+10%\nジャンク品発見確率+4%\n,,,,\n+20% Урон всех инструментов\n+10% Скорость всех инструментов\n+4% Шанс найти мусор\n,,\n+20%所有工具物块伤害\n+10%所有工具速度\n+4%垃圾发现率\n,\n+20% 所有工具塊損壞\n+10% 所有工具速度\n+4% 垃圾發現率\n
SalvageLP3Desc,progression,skills,,,\n+30% All Tools Block Damage\n+15% All Tools Speed\n+6% Junk Finding Chance\n,,,,,,\n道具の対物ダメージ+30%\n道具の振る速度+15%\nジャンク品発見確率+6%\n,,,,\n+30% Урон всех инструментов\n+15% Скорость всех инструментов\n+6% Шанс найти мусор\n,,\n+30%所有工具物块伤害\n+15%所有工具速度\n+6%垃圾发现率\n,\n+30% 所有工具塊損壞\n+15% 所有工具速度\n+6% 垃圾發現率\n
SalvageLP4Desc,progression,skills,,,\n+40% All Tools Block Damage\n+20% All Tools Speed\n+8% Junk Finding Chance\n,,,,,,\n道具の対物ダメージ+40%\n道具の振る速度+20%\nジャンク品発見確率+8%\n,,,,\n+40% Урон всех инструментов\n+20% Скорость всех инструментов\n+8% Шанс найти мусор\n,,\n+40%所有工具物块伤害\n+20%所有工具速度\n+8%垃圾发现率\n,\n+40% 所有工具塊損壞\n+20% 所有工具速度\n+8% 垃圾發現率\n
SalvageLP5Desc,progression,skills,,,\n+50% All Tools Block Damage\n+25% All Tools Speed\n+10% Junk Finding Chance\n,,,,,,\n道具の対物ダメージ+50%\n道具の振る速度+25%\nジャンク品発見確率+10%\n,,,,\n+50% Урон всех инструментов\n+25% Скорость всех инструментов\n+10% Шанс найти мусор\n,,\n+50%所有工具物块伤害\n+25%所有工具速度\n+10%垃圾发现率\n,\n+50% 所有工具塊損壞\n+25% 所有工具速度\n+10% 垃圾發現率\n
SalvageLP1LongDesc,progression,skills,,,"Increases salvaging, mining and logging tools block damage by +10%.\nIncreases salvaging, mining and logging tools speed by +5%.\nImproves the chance of finding junks by +2%.",,,,,,"解体、採掘、伐採ツールの対物ダメージを10%増加。\n解体、採掘、伐採ツールの振る速度が5%増加。\nジャンク品を見つける確率が2%上昇。",,,,"Увеличивает урон, наносимый инструментами для сбора, добычи и лесозаготовки, на +10%.\nУвеличивает скорость инструментов для сбора, добычи и лесозаготовки на +5%.\nУлучшает шанс найти мусор на +2%.",,"回收、采矿和伐木工具的物块伤害增加+10%。\n回收、采矿和伐木工具的速度增加+5%。\n发现垃圾的机率提高+2%。","回收、採礦和伐木工具的塊損壞增加 +10%。\n回收、採礦和伐木工具的速度增加 +5%。\n發現垃圾的機率提高 +2%。"
SalvageLP2LongDesc,progression,skills,,,"Increases salvaging, mining and logging tools block damage by +20%.\nIncreases salvaging, mining and logging tools speed by +10%.\nImproves the chance of finding junks by +4%.",,,,,,"解体、採掘、伐採ツールの対物ダメージを20%増加。\n解体、採掘、伐採ツールの振る速度が10%増加。\nジャンク品を見つける確率が4%上昇。",,,,"Увеличивает урон, наносимый инструментами для сбора, добычи и лесозаготовки, на +20%.\nУвеличивает скорость инструментов для сбора, добычи и лесозаготовки на +10%.\nУлучшает шанс найти мусор на +4%.",,"回收、采矿和伐木工具的物块伤害增加+20%。\n回收、采矿和伐木工具的速度增加+10%。\n发现垃圾的机率提高+4%。","回收、採礦和伐木工具的塊損壞增加 +20%。\n回收、採礦和伐木工具的速度增加 +10%。\n發現垃圾的機率提高 +4%。"
SalvageLP3LongDesc,progression,skills,,,"Increases salvaging, mining and logging tools block damage by +30%.\nIncreases salvaging, mining and logging tools speed by +15%.\nImproves the chance of finding junks by +6%.",,,,,,"解体、採掘、伐採ツールの対物ダメージを30%増加。\n解体、採掘、伐採ツールの振る速度が15%増加。\nジャンク品を見つける確率が6%上昇。",,,,"Увеличивает урон, наносимый инструментами для сбора, добычи и лесозаготовки, на +30%.\nУвеличивает скорость инструментов для сбора, добычи и лесозаготовки на +15%.\nУлучшает шанс найти мусор на +6%.",,"回收、采矿和伐木工具的物块伤害增加+30%。\n回收、采矿和伐木工具的速度增加+15%。\n发现垃圾的机率提高+6%。","回收、採礦和伐木工具的塊損壞增加 +30%。\n回收、採礦和伐木工具的速度增加 +15%。\n發現垃圾的機率提高 +6%。"
SalvageLP4LongDesc,progression,skills,,,"Increases salvaging, mining and logging tools block damage by +40%.\nIncreases salvaging, mining and logging tools speed by +20%.\nImproves the chance of finding junks by +8%.",,,,,,"解体、採掘、伐採ツールの対物ダメージを40%増加。\n解体、採掘、伐採ツールの振る速度が20%増加。\nジャンク品を見つける確率が8%上昇。",,,,"Увеличивает урон, наносимый инструментами для сбора, добычи и лесозаготовки, на +40%.\nУвеличивает скорость инструментов для сбора, добычи и лесозаготовки на +20%.\nУлучшает шанс найти мусор на +8%.",,"回收、采矿和伐木工具的物块伤害增加+40%。\n回收、采矿和伐木工具的速度增加+20%。\n发现垃圾的机率提高+8%。","回收、採礦和伐木工具的塊損壞增加 +40%。\n回收、採礦和伐木工具的速度增加 +20%。\n發現垃圾的機率提高 +8%。"
SalvageLP5LongDesc,progression,skills,,,"Increases salvaging, mining and logging tools block damage by +50%.\nIncreases salvaging, mining and logging tools speed by +25%.\nImproves the chance of finding junks by +10%.",,,,,,"解体、採掘、伐採ツールの対物ダメージを50%増加。\n解体、採掘、伐採ツールの振る速度が25%増加。\nジャンク品を見つける確率が10%上昇。",,,,"Увеличивает урон, наносимый инструментами для сбора, добычи и лесозаготовки, на +50%.\nУвеличивает скорость инструментов для сбора, добычи и лесозаготовки на +25%.\nУлучшает шанс найти мусор на +10%.",,"回收、采矿和伐木工具的物块伤害增加+50%。\n回收、采矿和伐木工具的速度增加+25%。\n发现垃圾的机率提高+10%。","回收、採礦和伐木工具的塊損壞增加 +50%。\n回收、採礦和伐木工具的速度增加 +25%。\n發現垃圾的機率提高 +10%。"

VehicleLPName,progression,perk,,,Machinist,,,,,,機械工,,,,Машинист,,机械师,機械師
VehicleLPDesc,progression,perk,,,Specialize in mechanical skills to improve mechanical efficiency.,,,,,,機械効率を向上させるために機械スキルを専門に学びます。,,,,Специализируйтесь на навыках механика для повышения эффективности транспорта.,,专精于机械技能以提高机械效率。,專精於機械技能以提高機械效率。
VehicleLP1Desc,progression,skills,,,\n-6% Vehicle Fuel Usage\n+2% Vehicle Parts Finding Chance\n,,,,,,\n車の燃料使用量-6%\n車両パーツ発見確率+2%\n,,,,\n-6% Расход топлива транспорта\n+2% Шанс найти детали транспорта\n,,\n-6%载具燃料使用\n+2%载具零件组发现率\n,\n-6% 車輛燃料用量\n+2% 車輛零件發現率\n
VehicleLP2Desc,progression,skills,,,\n-12% Vehicle Fuel Usage\n+4% Vehicle Parts Finding Chance\n,,,,,,\n車の燃料使用量-12%\n車両パーツ発見確率+4%\n,,,,\n-12% Расход топлива транспорта\n+4% Шанс найти детали транспорта\n,,\n-12%载具燃料使用\n+4%载具零件组发现率\n,\n-12% 車輛燃料用量\n+4% 車輛零件發現率\n
VehicleLP3Desc,progression,skills,,,\n-18% Vehicle Fuel Usage\n+6% Vehicle Parts Finding Chance\n,,,,,,\n車の燃料使用量-18%\n車両パーツ発見確率+6%\n,,,,\n-18% Расход топлива транспорта\n+6% Шанс найти детали транспорта\n,,\n-18%载具燃料使用\n+6%载具零件组发现率\n,\n-18% 車輛燃料用量\n+6% 車輛零件發現率\n
VehicleLP4Desc,progression,skills,,,\n-24% Vehicle Fuel Usage\n+8% Vehicle Parts Finding Chance\n,,,,,,\n車の燃料使用量-24%\n車両パーツ発見確率+8%\n,,,,\n-24% Расход топлива транспорта\n+8% Шанс найти детали транспорта\n,,\n-24%载具燃料使用\n+8%载具零件组发现率\n,\n-24% 車輛燃料用量\n+8% 車輛零件發現率\n
VehicleLP5Desc,progression,skills,,,\n-30% Vehicle Fuel Usage\n+10% Vehicle Parts Finding Chance\n+20% Vehicle Acceleration and Top Speed\n,,,,,,\n車の燃料使用量-30%\n車両パーツ発見確率+10%\n車両の加速と最高速度+20%\n,,,,\n-30% Расход топлива транспорта\n+10% Шанс найти детали транспорта\n+20% к ускорению автомобиля и максимальной скорости\n,,\n-30%载具燃料使用\n+10%载具零件组发现率\n+20%载具加速速度和最高速度\n,\n-30% 車輛燃料用量\n+10% 車輛零件發現率\n+20% 車輛加速速度和最高速度\n
VehicleLP1LongDesc,progression,skills,,,Reduces vehicle fuel usage by -6%.\nImproves the chance of finding vehicle parts by +2%.,,,,,,車の燃料使用量を6%減少。\n車両パーツが見つかる確率が2%上昇。,,,,Снижает расход топлива транспортного средства на -6%.\nУлучшает вероятность нахождения деталей транспортного средства на +2%.,,载具燃料使用减少-6%。\n发现载具零件组的机率提高+2%。,車輛燃料用量減少 -6%。\n發現車輛零件的機率提高 +2%。
VehicleLP2LongDesc,progression,skills,,,Reduces vehicle fuel usage by -12%.\nImproves the chance of finding vehicle parts by +4%.,,,,,,車の燃料使用量を12%減少。\n車両パーツが見つかる確率が4%上昇。,,,,Снижает расход топлива транспортного средства на -12%.\nУлучшает вероятность нахождения деталей транспортного средства на +4%.,,载具燃料使用减少-12%。\n发现载具零件组的机率提高+4%。,車輛燃料用量減少 -12%。\n發現車輛零件的機率提高 +4%。
VehicleLP3LongDesc,progression,skills,,,Reduces vehicle fuel usage by -18%.\nImproves the chance of finding vehicle parts by +6%.,,,,,,車の燃料使用量を18%減少。\n車両パーツが見つかる確率が6%上昇。,,,,Снижает расход топлива транспортного средства на -18%.\nУлучшает вероятность нахождения деталей транспортного средства на +6%.,,载具燃料使用减少-18%。\n发现载具零件组的机率提高+6%。,車輛燃料用量減少 -18%。\n發現車輛零件的機率提高 +6%。
VehicleLP4LongDesc,progression,skills,,,Reduces vehicle fuel usage by -24%.\nImproves the chance of finding vehicle parts by +8%.,,,,,,車の燃料使用量を24%減少。\n車両パーツが見つかる確率が8%上昇。,,,,Снижает расход топлива транспортного средства на -24%.\nУлучшает вероятность нахождения деталей транспортного средства на +8%.,,载具燃料使用减少-24%。\n发现载具零件组的机率提高+8%。,車輛燃料用量減少 -24%。\n發現車輛零件的機率提高 +8%。
VehicleLP5LongDesc,progression,skills,,,Reduces vehicle fuel usage by -30%.\nImproves the chance of finding vehicle parts by +10%.\nImproves vehicle acceleration and top speed by +20%.,,,,,,車の燃料使用量を30%減少。\n車両パーツが見つかる確率が10%上昇。\n車両の加速と最高速度が20%向上。,,,,Снижает расход топлива транспортного средства на -30%.\nУлучшает вероятность нахождения деталей транспортного средства на +10%.\nУлучшает ускорение и максимальную скорость автомобиля на +20%.,,载具燃料使用减少-30%。\n发现载具零件组的机率提高+10%。\n载具的加速速度和最高速度提高+20%。,車輛燃料用量減少 -30%。\n發現車輛零件的機率提高 +10%。\n車輛的加速速度和最高速度提高 +20%。

CropFarmerLPName,progression,perk,,,Grower,,,,,,栽培者,,,,Садовод,,种植者,種植者
